Frequency,EQ (db),EQ (deg),EQ mag,EQ Real,EQ Imagi,Calculated Admittance Magnitude,Calculated Admitance Real,Calculated Admitance Imagi,Calculated Impedance Magnitude,Calculated Impedance Real,Calculated Impedance Imagi,S11 mag linear
150000000.0,-32.982162,46.564194,0.0005032500190494748,0.00034600524116661514,0.00036543255842703623,0.0006974517157362943,0.0006168042265770223,0.0003255632685980128,1433.7910100978213,1621.2599669582953,3071.599582797972,0.9401802956930064
150000937.5,-32.968140000000005,46.684803,0.0005048774806117761,0.0003463516878972764,0.000367344223746069,0.0006976672278176925,0.0006164262488310857,0.00032673879555825656,1433.3481065579165,1622.2540845661194,3060.5487122869154,0.9402159686878658
150001875.0,-32.965031,46.674313,0.0005052390385240612,0.0003466670183184061,0.00036754382658255014,0.0006979961439174289,0.0006167665145253678,0.0003267991485359612,1432.6726712093375,1621.359098539176,3059.983492857722,0.9401839607829614
150002812.5,-32.958079999999995,46.677890999999995,0.0005060483346725737,0.00034719932269372013,0.0003681542439602009,0.0006985275617916499,0.0006172192455902975,0.00032707974173820556,1431.5827387470654,1620.1698296747338,3057.3584126173105,0.9401413942307831
150003750.0,-32.955551,46.770618,0.0005063431044640296,0.000346804944553767,0.00036893044042384166,0.0006980287345310335,0.0006163388569513933,0.0003276744232356959,1432.6057804365948,1622.4841071132785,3051.8097510488365,0.9402242798804034
150004687.5,-32.978390000000005,46.654705,0.0005036872992227237,0.00034572767665828517,0.0003662966953041561,0.0006970719856746122,0.000616042280376369,0.00032619206305646066,1434.5720679510885,1623.2652073637762,3065.678516607284,0.9402520435630829
150005625.0,-32.968727,46.64542,0.0005048092451020255,0.0003465572604423602,0.00036705645230013733,0.0006979173904291055,0.0006168334071018487,0.00032650456619547834,1432.8343349993943,1621.1832700476364,3062.744302942765,0.9401776394317799
150006562.5,-32.958714,46.766903000000006,0.0005059744651576828,0.0003465763587403568,0.0003686393724955037,0.0006978032448728776,0.0006161573502677931,0.00032753547634735593,1433.068715784168,1622.96205598356,3053.1043878113705,0.9402413441428632
150007500.0,-32.982341999999996,46.745777000000004,0.0005032291615138602,0.0003448310765094703,0.0003665120975783237,0.0006960680638756389,0.0006147248749270827,0.0003265334250784488,1436.6411158588396,1626.7439968467481,3062.4736189250843,0.9403760375502056
150008437.5,-32.937121999999995,46.807354,0.0005084963032911721,0.0003480420928630612,0.0003707225270418402,0.000699231755750025,0.0006172263204168558,0.00032856767588113636,1430.1409965675236,1620.151258819667,3043.513021535822,0.9401408703600836
150009375.0,-32.982155,46.740798999999996,0.0005032508301933231,0.0003448777682365825,0.0003664979168650526,0.0006961207617498248,0.0006147950134028447,0.00032651371553757506,1436.5323589635798,1626.5584108515689,3062.6584808346906,0.9403694355863464
150010312.5,-32.967746999999996,46.717739,0.0005049231698470652,0.0003461717901470911,0.0003675765214955474,0.0006974498821792579,0.000616078344686649,0.00032693089691862917,1433.794779454821,1623.1701838320937,3058.7503641446683,0.9402487202780854
150011250.0,-32.973465000000004,46.638325,0.0005042588162801249,0.0003462247856192876,0.00036661335439275956,0.000697590775535183,0.0006165781685069993,0.00032628860266998677,1433.505193976816,1621.8543748012191,3064.7714686234845,0.9402016326487556
150012187.5,-32.937405,46.762238,0.0005084631691457254,0.00034831120248634396,0.0003704242170812158,0.0006995512567542371,0.0006177233576606169,0.00032831359129181076,1429.4878185764094,1618.847640450419,3045.868421302068,0.9400940868530623
150013125.0,-32.997864,46.627815000000005,0.0005014337942631591,0.0003443519885263225,0.0003644963072887236,0.0006957145299471709,0.0006149688995257532,0.0003253182438715926,1437.37115865028,1626.0984917630337,3073.9130646319154,0.9403529601102526
150014062.5,-32.977515999999994,46.645245,0.0005037886744456104,0.00034585774597738867,0.0003663133195054547,0.0006972133573630349,0.0006162118698783657,0.00032617387557320245,1434.281184431333,1622.8184637166926,3065.8494591041285,0.9402360854072971
150015000.0,-32.940845,46.651028000000004,0.0005080605803884092,0.0003487531790765994,0.00036945469739681555,0.0007001172556716372,0.0006187515346502379,0.0003275831345737448,1428.3321713598946,1616.157607698332,3052.6602088389336,0.9399972974972548
150015937.5,-32.933803999999995,46.781096999999995,0.0005088849417551096,0.0003484780825206394,0.00037084620794588114,0.0006996981491180121,0.0006177633144746466,0.0003285513463196746,1429.1877165325166,1618.7429336920272,3043.6642893163435,0.9400903506804025
150016875.0,-32.990398,46.794266,0.0005022965555067474,0.00034388229577106606,0.00036612401768958564,0.0006950577311824665,0.000613603080549687,0.000326491208482636,1438.7294107192372,1629.7180240753764,3062.8696087943317,0.94048160164742
150017812.5,-33.003502000000005,46.750015000000005,0.0005007832565319345,0.0003431280737230174,0.0003647560760917641,0.0006943436772332295,0.0006131816994182478,0.00032576271366181953,1440.2089812133493,1630.8379733914817,3069.719025726557,0.940521190697563
